Regularizer	FC1	FC2	genre	variant	epoch	train_loss	train_accuracy	train_fscore	test_loss	test_accuracy	test_fscore
L1=1e-5	256	64	Animation	LR decay	9	1.80943392104	0.048441135416	0.0920679049666	NaN	0.0498822225732	NaN
L1=1e-5	256	64	Animation	LR decay	10	1.80953227763	0.0484411354049	0.0920732708408	NaN	0.0498822225226	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	1	1.73851562029	0.835644484654	0.143808301521	NaN	0.819869751242	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	2	1.60162121982	0.88259655575	0.218280901283	NaN	0.857789478557	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	3	1.54226080962	0.908236388846	0.246564208624	NaN	0.924991916979	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	4	1.47977927777	0.916891577306	0.279356229289	NaN	0.929148768857	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	5	1.4315124339	0.929874359973	0.303420370127	NaN	0.934737424865	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	6	1.38301173188	0.935458352767	0.323173865128	NaN	0.938155281258	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	7	1.35612513352	0.932805955926	0.338243225164	NaN	0.913260357123	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	8	1.30395469627	0.939227547752	0.366507483031	NaN	0.933120871762	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	9	1.24731473521	0.946067937949	0.394628240381	NaN	0.931319569216	NaN
L1=1e-5	256	64	Animation	Reduce LR on Plateau	10	1.22776111362	0.946533271322	0.39859576058	NaN	0.941988822142	NaN
L1=1e-5	4096	4096	Animation	base	1	1.82014131286	0.624243835068	0.109794797804	NaN	0.919957507615	NaN
